,tweetNum,word,ner_iob,ner_tag,tag
0,0,i,O,,KeyNone
1,0,appreciate,O,,KeyNone
2,0,the,O,,KeyNone
3,0,love,O,,KeyNone
4,0,for,O,,KeyNone
5,0,hacking,O,,NEB
6,0,guys,O,,NEI
7,0,",",O,,KeyNone
8,0,but,O,,KeyNone
9,0,let,O,,KeyNone
10,0,'s,O,,KeyNone
11,0,not,O,,KeyNone
12,0,DDoS,O,,NEB
13,0,our,O,,KeyNone
14,0,own,O,,KeyNone
15,0,fkn,O,,NEB
16,0,stream,O,,NEI
17,0,.,O,,KeyNone
18,0,RIP,O,,KeyNone
19,0,#,O,,KeyNone
20,0,technotherapy,O,,NEB
21,0,w/,O,,KeyNone
22,0,@,O,,KeyNone
23,0,aboveandbeyond,O,,KeyNone
24,1,@,O,,KeyNone
25,1,i_oofficial,O,,KeyNone
26,1,is,O,,KeyNone
27,1,such,O,,KeyNone
28,1,a,O,,KeyNone
29,1,great,O,,NEB
30,1,hacker,O,,NEI
31,1,he,O,,KeyNone
32,1,made,O,,KeyNone
33,1,his,O,,KeyNone
34,1,viewers,B,ORG,KeyNone
35,1,DDOS,I,ORG,NEB
36,1,Group,I,ORG,NEI
37,1,Therapy,O,,NEO
38,1,for,O,,KeyNone
39,1,him,O,,KeyNone
40,2,Cybersecurity,B,ORG,NEB
41,2,Experts,I,ORG,KeyNone
42,2,Point,I,ORG,KeyNone
43,2,to,O,,KeyNone
44,2,Iran,B,GPE,NEB
45,2,for,O,,KeyNone
46,2,Bitcoin,O,,NEB
47,2,Ransomware,O,,NEI
48,2,-,O,,KeyNone
49,2,https,O,,KeyNone
50,3,Domain,O,,NEB
51,3,auction,O,,NEI
52,3,Domain,O,,KeyNone
53,3,name,B,ORG,KeyNone
54,3,:,O,,KeyNone
55,3,https,O,,KeyNone
56,3,:,O,,KeyNone
57,3,//t.co/zZdYBVk4ol,O,,KeyNone
58,3,Start,O,,KeyNone
59,3,:,O,,KeyNone
60,3,$,O,,KeyNone
61,3,150,B,MONEY,KeyNone
62,3,Reserve,O,,NEB
63,3,price,B,ORG,NEI
64,3,:,O,,KeyNone
65,3,TBA,O,,KeyNone
66,3,To,B,ORG,KeyNone
67,3,be,O,,KeyNone
68,3,the,O,,KeyNone
69,3,first,O,,KeyNone
70,3,person,O,,KeyNone
71,3,to,B,ORDINAL,KeyNone
72,3,bid,O,,KeyNone
73,3,reply,O,,KeyNone
74,3,on,O,,KeyNone
75,3,Twitter,O,,NEB
76,3,in,O,,KeyNone
77,3,comments,B,PERSON,KeyNone
78,3,with,I,PERSON,KeyNone
79,3,hugeleak,O,,NEB
80,3,$,O,,KeyNone
81,3,150,O,,KeyNone
82,3,.,O,,KeyNone
83,3,Auction,O,,KeyNone
84,3,ends,O,,KeyNone
85,3,3rd,B,MONEY,KeyNone
86,3,September,O,,NEB
87,3,#,O,,KeyNone
88,3,domainauction,O,,NEB
89,3,#,O,,KeyNone
90,3,domains,B,ORDINAL,KeyNone
91,4,#,B,MONEY,KeyNone
92,4,Depressed,I,MONEY,KeyNone
93,4,#,I,MONEY,KeyNone
94,4,Security,O,,NEB
95,4,Researcher,O,,NEI
96,4,Drops,O,,KeyNone
97,4,Serious,O,,KeyNone
98,4,#,O,,KeyNone
99,4,0Day,O,,KeyNone
100,4,for,O,,KeyNone
101,4,fully,O,,KeyNone
102,4,patched,O,,KeyNone
103,4,#,B,MONEY,KeyNone
104,4,Windows,I,MONEY,NEB
105,4,#,I,MONEY,NEI
106,4,Exploit,O,,KeyNone
107,4,On,O,,KeyNone
108,4,Twitter,O,,NEO
109,4,with,O,,KeyNone
110,4,#,B,MONEY,KeyNone
111,4,ProofOfConcept,I,MONEY,NEB
112,4,Code,I,MONEY,NEO
113,4,#,O,,KeyNone
114,4,CERT,O,,NEB
115,4,verified,B,ORG,NEO
116,4,the,O,,KeyNone
117,4,exploit,O,,KeyNone
118,4,code,O,,KeyNone
119,4,as,O,,KeyNone
120,4,local,O,,KeyNone
121,4,privilege,O,,NEB
122,4,escalation,O,,NEO
123,4,https,O,,KeyNone
124,4,:,O,,KeyNone
125,4,//t.co/U3cip4WdiY,O,,KeyNone
126,4,https,O,,KeyNone
127,5,An,O,,KeyNone
128,5,infinite,O,,NEB
129,5,loop,O,,NEI
130,5,vulnerability,O,,NEO
131,5,was,O,,KeyNone
132,5,found,O,,KeyNone
133,5,in,O,,KeyNone
134,5,libtirpc,O,,NEB
135,5,before,O,,KeyNone
136,5,version,O,,NEI
137,5,1.0.2-rc2,O,,NEO
138,5,that,O,,KeyNone
139,5,allows,O,,KeyNone
140,5,server,O,,KeyNone
141,5,to,O,,KeyNone
142,5,enter,O,,KeyNone
143,5,an,O,,KeyNone
144,5,infinite,O,,KeyNone
145,5,loop,O,,KeyNone
146,5,.,O,,KeyNone
147,5,https,O,,KeyNone
148,5,:,B,CARDINAL,KeyNone
149,5,//t.co/fcZ4vzm1VA,O,,KeyNone
150,5,#,O,,KeyNone
151,5,cybersecurity,O,,NEB
152,6,https,O,,KeyNone
153,6,:,O,,KeyNone
154,6,//t.co/YgB9MJNChW,O,,KeyNone
155,6,uses,O,,KeyNone
156,6,ad-blocker,O,,NEB
157,6,bypass,O,,KeyNone
158,6,technology,O,,KeyNone
159,6,which,O,,KeyNone
160,6,increases,O,,KeyNone
161,6,your,O,,KeyNone
162,6,vulnerability,O,,NEB
163,6,to,O,,KeyNone
164,6,infection,O,,NEI
165,6,from,O,,KeyNone
166,6,#,B,MONEY,KeyNone
167,6,malvertising,I,MONEY,NEB
168,6,(,O,,KeyNone
169,6,malicious,O,,NEI
170,6,ads,O,,NEO
171,6,),O,,KeyNone
172,6,#,O,,KeyNone
173,6,cybersecurity,B,CARDINAL,NEB
174,6,#,O,,KeyNone
175,6,business,B,MONEY,KeyNone
176,6,#,I,MONEY,KeyNone
177,6,smallbiz,O,,NEB
178,6,#,O,,KeyNone
179,6,startup,B,MONEY,NEO
180,6,https,I,MONEY,KeyNone
181,6,:,O,,KeyNone
182,7,Hey,O,,KeyNone
183,7,@,O,,KeyNone
184,7,Jack,O,,NEB
185,7,-,O,,KeyNone
186,7,which,O,,KeyNone
187,7,one,O,,KeyNone
188,7,of,O,,KeyNone
189,7,these,O,,KeyNone
190,7,is,O,,KeyNone
191,7,code,O,,NEB
192,7,for,O,,KeyNone
193,7,``,O,,KeyNone
194,7,this,O,,KeyNone
195,7,is,O,,KeyNone
196,7,clearly,O,,KeyNone
197,7,an,O,,KeyNone
198,7,account,O,,NEB
199,7,created,O,,NEO
200,7,by,O,,KeyNone
201,7,a,O,,KeyNone
202,7,botnet,O,,NEB
203,7,along,O,,KeyNone
204,7,with,O,,KeyNone
205,7,the,O,,KeyNone
206,7,other,B,CARDINAL,KeyNone
207,7,15,O,,KeyNone
208,7,accounts,O,,KeyNone
209,7,that,O,,KeyNone
210,7,just,O,,KeyNone
211,7,followed,O,,KeyNone
212,7,me,O,,KeyNone
213,7,'',O,,KeyNone
214,7,?,O,,KeyNone
215,8,Grrrr,B,ORG,NEB
216,8,ddos,O,,NEI
217,8,threat,O,,NEI
218,9,Tango,O,,NEO
219,9,Down,O,,KeyNone
220,9,#,O,,KeyNone
221,9,MalwareMustDie,O,,NEB
222,9,https,O,,KeyNone
223,9,:,O,,KeyNone
224,10,@,O,,KeyNone
225,10,thelilpanda,O,,NEB
226,10,@,O,,KeyNone
227,10,Jatheish,O,,NEI
228,10,@,O,,KeyNone
229,10,bubblywums,O,,NEI
230,10,@,O,,KeyNone
231,10,survivetheark,O,,NEO
232,10,Can,O,,KeyNone
233,10,you,O,,KeyNone
234,10,please,O,,KeyNone
235,10,fix,B,CARDINAL,KeyNone
236,10,PS4,O,,NEB
237,10,809,O,,KeyNone
238,10,OC,O,,KeyNone
239,10,abb,O,,NEB
240,10,sever,O,,NEO
241,10,.,O,,KeyNone
242,10,It,O,,KeyNone
243,10,has,O,,KeyNone
244,10,been,O,,KeyNone
245,10,down,B,DATE,KeyNone
246,10,for,I,DATE,KeyNone
247,10,over,I,DATE,KeyNone
248,10,a,O,,KeyNone
249,10,week,O,,KeyNone
250,10,.,O,,KeyNone
251,10,Been,O,,KeyNone
252,10,ddos,O,,NEB
253,10,attacked,O,,NEO
254,10,on/off,O,,KeyNone
255,10,please,O,,KeyNone
256,10,reset,O,,KeyNone
257,10,ips,O,,NEB
258,10,.,O,,KeyNone
259,10,Filled,O,,KeyNone
260,10,out,O,,KeyNone
261,10,outage,O,,KeyNone
262,10,forms,O,,KeyNone
263,10,still,O,,KeyNone
264,10,NO,O,,KeyNone
265,10,response,O,,KeyNone
266,10,.,O,,KeyNone
267,10,#,O,,KeyNone
268,10,StopDDoS,O,,NEB
269,11,@,O,,KeyNone
270,11,ComfortablySmug,O,,NEB
271,11,DON,O,,KeyNone
272,11,'',O,,KeyNone
273,11,T,O,,KeyNone
274,11,CLICK,O,,KeyNone
275,12,Source,O,,NEB
276,12,code,O,,NEI
277,12,to,O,,KeyNone
278,12,``,O,,KeyNone
279,12,Locky,B,PERSON,KeyNone
280,12,'',O,,KeyNone
281,12,ransomware,O,,NEB
282,12,#,O,,KeyNone
283,12,security,B,MONEY,KeyNone
284,12,#,I,MONEY,KeyNone
285,12,networksecurity,I,MONEY,NEB
286,12,#,I,MONEY,KeyNone
287,12,cybersecurity,I,MONEY,NEI
288,12,#,O,,KeyNone
289,12,virus,B,MONEY,NEI
290,12,#,I,MONEY,KeyNone
291,12,malware,O,,NEO
292,12,#,O,,KeyNone
293,12,locky,B,MONEY,KeyNone
294,12,#,I,MONEY,KeyNone
295,12,ransomware,I,MONEY,KeyNone
296,12,#,I,MONEY,KeyNone
297,12,RansomwareProtection,I,MONEY,NEB
298,12,https,B,ORG,KeyNone
299,12,:,O,,KeyNone
300,13,Android,O,,NEB
301,13,vulnerability,O,,NEI
302,13,exposes,O,,KeyNone
303,13,users,O,,KeyNone
304,13,data,O,,KeyNone
305,13,via,O,,KeyNone
306,13,WiFi,O,,NEB
307,13,https,O,,KeyNone
308,13,:,O,,KeyNone
309,13,//t.co/R9BjG4emtw,O,,KeyNone
310,13,#,O,,KeyNone
311,13,Cybersecurity,O,,KeyNone
312,13,#,O,,KeyNone
313,13,cyber,O,,KeyNone
314,13,#,O,,KeyNone
315,13,infosec,O,,NEB
316,13,#,O,,KeyNone
317,13,security,O,,NEI
318,13,#,B,MONEY,KeyNone
319,13,privacy,I,MONEY,NEI
320,13,#,I,MONEY,KeyNone
321,13,risk,O,,KeyNone
322,14,Hacker,B,PERSON,KeyNone
323,14,Discloses,I,PERSON,NEB
324,14,Unpatched,I,PERSON,NEI
325,14,Windows,O,,NEI
326,14,Zero-Day,B,DATE,NEI
327,14,Vulnerability,I,DATE,NEO
328,14,(,I,DATE,KeyNone
329,14,With,I,DATE,KeyNone
330,14,PoC,O,,NEB
331,14,),O,,KeyNone
332,14,(,O,,KeyNone
333,14,via,O,,KeyNone
334,14,@,O,,KeyNone
335,14,TheHackersNews,O,,NEB
336,14,),O,,KeyNone
337,14,https,O,,KeyNone
338,14,:,O,,KeyNone
339,14,//t.co/NAGRdKOvyG,O,,KeyNone
340,15,@,O,,KeyNone
341,15,Bricaine,B,ORG,NEB
342,15,DDOS,O,,NEO
343,15,maybe,O,,KeyNone
344,15,or,O,,KeyNone
345,15,just,O,,KeyNone
346,15,too,O,,KeyNone
347,15,many,O,,KeyNone
348,15,people,O,,KeyNone
349,15,trying,O,,KeyNone
350,15,to,O,,KeyNone
351,15,install,O,,KeyNone
352,15,mw2,O,,NEB
353,15,but,O,,KeyNone
354,15,this,O,,KeyNone
355,15,issue,O,,KeyNone
356,15,has,O,,KeyNone
357,15,messed,O,,KeyNone
358,15,up,O,,KeyNone
359,15,my,B,PERSON,KeyNone
360,15,Xbox,O,,NEB
361,15,console,O,,KeyNone
362,15,itself,O,,KeyNone
363,15,like,O,,KeyNone
364,15,it,O,,KeyNone
365,15,works,O,,KeyNone
366,15,but,O,,KeyNone
367,15,it,O,,KeyNone
368,15,struggles,O,,NEB
369,15,to,O,,KeyNone
370,15,load,O,,NEO
371,15,or,O,,KeyNone
372,15,even,O,,KeyNone
373,16,Bank,B,ORG,NEB
374,16,of,I,ORG,KeyNone
375,16,Spain,I,ORG,NEO
376,16,Hit,I,ORG,KeyNone
377,16,by,O,,KeyNone
378,16,DDoS,O,,NEB
379,16,Attack,O,,NEO
380,16,https,O,,KeyNone
381,17,Im,O,,KeyNone
382,17,going,O,,KeyNone
383,17,to,O,,KeyNone
384,17,probably,O,,KeyNone
385,17,cancel,O,,KeyNone
386,17,the,O,,KeyNone
387,17,3D,O,,NEB
388,17,arcadestick,O,,NEI
389,17,run,O,,NEO
390,17,to,O,,KeyNone
391,17,another,O,,KeyNone
392,17,date,O,,KeyNone
393,17,next,O,,KeyNone
394,17,week,B,DATE,KeyNone
395,17,.,I,DATE,KeyNone
396,17,Im,O,,KeyNone
397,17,scared,O,,KeyNone
398,17,my,O,,KeyNone
399,17,isp,O,,NEB
400,17,will,O,,KeyNone
401,17,ddos,O,,NEB
402,17,me,O,,KeyNone
403,17,and,O,,KeyNone
404,17,theyll,O,,KeyNone
405,17,cut,O,,KeyNone
406,17,it,O,,KeyNone
407,17,short,O,,KeyNone
408,17,well,O,,KeyNone
409,17,try,O,,KeyNone
410,17,it,O,,KeyNone
411,17,sometime,O,,NEB
412,17,next,O,,NEI
413,17,week,O,,NEO
414,18,A,O,,KeyNone
415,18,new,O,,KeyNone
416,18,vulnerability,O,,NEB
417,18,in,O,,KeyNone
418,18,Alexa,B,GPE,NEI
419,18,allows,O,,KeyNone
420,18,phishing,O,,NEB
421,18,attacks,O,,NEI
422,18,to,O,,KeyNone
423,18,trick,O,,KeyNone
424,18,users,O,,KeyNone
425,18,into,O,,KeyNone
426,18,sending,O,,KeyNone
427,18,their,O,,KeyNone
428,18,secure,O,,NEB
429,18,credentials,O,,NEI
430,18,.,O,,KeyNone
431,18,This,O,,KeyNone
432,18,trick,O,,KeyNone
433,18,called,O,,KeyNone
434,18,``,O,,KeyNone
435,18,Echosquatting,B,WORK_OF_ART,NEB
436,18,'',O,,KeyNone
437,18,and,O,,KeyNone
438,18,allows,O,,KeyNone
439,18,hackers,O,,NEB
440,18,to,O,,KeyNone
441,18,hide,O,,KeyNone
442,18,malware,O,,NEB
443,18,over,O,,KeyNone
444,18,a,O,,KeyNone
445,18,certain,O,,KeyNone
446,18,skill,O,,KeyNone
447,18,.,O,,KeyNone
448,18,Always,O,,KeyNone
449,18,stay,O,,KeyNone
450,18,up-to-date,O,,KeyNone
451,18,so,O,,KeyNone
452,18,you,O,,KeyNone
453,18,know,O,,KeyNone
454,18,what,O,,KeyNone
455,18,to,O,,KeyNone
456,18,look,O,,KeyNone
457,18,for,O,,KeyNone
458,18,!,O,,KeyNone
459,18,https,O,,KeyNone
460,18,:,O,,KeyNone
461,18,//t.co/chTaSFIwU5,O,,KeyNone
462,19,Alert,O,,KeyNone
463,19,!,O,,KeyNone
464,19,Be,O,,KeyNone
465,19,prepared,O,,KeyNone
466,19,against,O,,KeyNone
467,19,#,B,CARDINAL,KeyNone
468,19,OSS,B,ORG,NEB
469,19,vulnerabilities,O,,NEI
470,20,CVE-2018-16276,O,,NEO
471,20,An,O,,KeyNone
472,20,issue,O,,KeyNone
473,20,was,O,,KeyNone
474,20,discovered,O,,KeyNone
475,20,in,O,,KeyNone
476,20,yurex_read,O,,NEB
477,20,in,O,,KeyNone
478,20,drivers/usb/misc/yurex.c,O,,KeyNone
479,20,in,O,,KeyNone
480,20,the,O,,KeyNone
481,20,Linux,O,,NEB
482,20,kernel,O,,NEI
483,20,before,O,,KeyNone
484,20,4.17.7,O,,KeyNone
485,20,.,O,,KeyNone
486,20,Local,O,,NEB
487,20,attackers,O,,NEI
488,20,could,O,,KeyNone
489,20,use,O,,KeyNone
490,20,user,B,GPE,KeyNone
491,20,access,O,,KeyNone
492,20,read/writes,O,,KeyNone
493,20,with,B,CARDINAL,KeyNone
494,20,incorrect,O,,KeyNone
495,20,bounds,O,,NEB
496,20,checking,O,,NEI
497,20,in,O,,KeyNone
498,20,the,O,,KeyNone
499,20,yurex,O,,NEB
500,20,USB,O,,NEI
501,20,...,O,,KeyNone
502,20,https,O,,KeyNone
503,20,:,O,,KeyNone
504,20,//t.co/hwpuTM6OOf,O,,KeyNone
505,20,Vulmon,O,,NEB
506,20,Vulnerability,O,,NEI
507,20,Feed,O,,KeyNone
508,20,(,O,,KeyNone
509,20,Vul,O,,KeyNone
510,21,GlobeImposter,B,ORG,NEB
511,21,ransomware,O,,NEI
512,21,attack,O,,NEO
513,21,w/,O,,KeyNone
514,21,high-intensity,O,,NEB
515,21,data,O,,NEI
516,21,encryption,O,,NEI
517,21,algorithm,O,,NEO
518,21,",",O,,KeyNone
519,21,numerous,O,,KeyNone
520,21,variants,O,,KeyNone
521,21,!,O,,KeyNone
522,21,#,O,,KeyNone
523,21,Cyberthreats,O,,NEB
524,21,#,B,MONEY,KeyNone
525,21,Cybercrime,I,MONEY,NEB
526,21,#,I,MONEY,KeyNone
527,21,SMB,I,MONEY,NEI
528,21,#,I,MONEY,KeyNone
529,21,Cybersecurity,I,MONEY,NEI
530,21,GlobeImposter,I,MONEY,NEO
531,21,which,O,,KeyNone
532,21,has,O,,KeyNone
533,21,more,B,ORG,KeyNone
534,21,than,O,,KeyNone
535,21,20,O,,KeyNone
536,21,variants,B,CARDINAL,KeyNone
537,21,",",I,CARDINAL,KeyNone
538,21,is,I,CARDINAL,KeyNone
539,21,still,O,,KeyNone
540,21,wildly,O,,KeyNone
541,21,growing,O,,KeyNone
542,21,|,O,,KeyNone
543,21,360,O,,KeyNone
544,21,Total,O,,KeyNone
545,21,Security,O,,KeyNone
546,21,Blog,B,CARDINAL,KeyNone
547,21,https,O,,KeyNone
548,21,:,O,,KeyNone
549,21,//t.co/tYPzHuXmOT,O,,KeyNone
550,21,via,O,,KeyNone
551,21,@,O,,KeyNone
552,21,360totalsec,O,,NEB
553,22,Hacker,B,PERSON,NEB
554,22,Discloses,I,PERSON,NEI
555,22,Unpatched,I,PERSON,NEO
556,22,Windows,O,,NEB
557,22,Zero-Day,B,DATE,NEI
558,22,Vulnerability,I,DATE,NEO
559,22,(,I,DATE,KeyNone
560,22,With,I,DATE,KeyNone
561,22,PoC,O,,NEB
562,22,),O,,KeyNone
563,22,https,O,,KeyNone
564,22,:,O,,KeyNone
565,22,//t.co/Zyh3z6so5z,O,,KeyNone
566,23,WordPress,B,ORG,NEB
567,23,REST,I,ORG,NEI
568,23,API,I,ORG,NEO
569,23,0day,O,,NEB
570,23,Exploit,B,PRODUCT,NEO
571,23,is,O,,KeyNone
572,23,Out,O,,KeyNone
573,23,https,O,,KeyNone
574,23,:,B,MONEY,KeyNone
575,23,//t.co/Am3uICtkXD,I,MONEY,KeyNone
576,23,#,I,MONEY,KeyNone
577,23,freelancewebdesigner,O,,NEB
578,23,#,O,,KeyNone
579,23,webdesigner,O,,NEB
580,23,#,B,MONEY,KeyNone
581,23,webdeveloper,I,MONEY,NEI
582,23,#,B,MONEY,KeyNone
583,23,ecommerce,I,MONEY,NEO
584,23,#,I,MONEY,KeyNone
585,23,singapore,I,MONEY,NEB
586,24,@,O,,KeyNone
587,24,prateek_0490,O,,NEB
588,24,can,O,,KeyNone
589,24,we,O,,KeyNone
590,24,report,O,,KeyNone
591,24,vulnerability,O,,NEB
592,24,in,O,,KeyNone
593,24,a,O,,KeyNone
594,24,domain,O,,KeyNone
595,24,which,O,,KeyNone
596,24,is,O,,KeyNone
597,24,neither,O,,KeyNone
598,24,included,O,,KeyNone
599,24,in,O,,KeyNone
600,24,out-scope,O,,NEB
601,24,nor,O,,KeyNone
602,24,in-scope,O,,NEB
603,24,.,O,,KeyNone
604,25,whichever,O,,KeyNone
605,25,one,O,,KeyNone
606,25,of,O,,KeyNone
607,25,you,O,,KeyNone
608,25,little,O,,NEB
609,25,freaks,O,,NEI
610,25,decided,O,,NEO
611,25,to,O,,KeyNone
612,25,test,O,,KeyNone
613,25,run,O,,KeyNone
614,25,your,O,,KeyNone
615,25,DDOS,B,ORG,NEB
616,25,attack,O,,NEO
617,25,on,O,,KeyNone
618,25,the,O,,KeyNone
619,25,campus,O,,NEB
620,25,SSH,B,ORG,NEI
621,25,systems,O,,NEO
622,25,ON,O,,KeyNone
623,25,A,O,,KeyNone
624,25,FRIDAY,B,ORG,NEB
625,25,AFTERNOON,O,,NEI
626,25,can,O,,KeyNone
627,25,eat,O,,KeyNone
628,25,my,O,,KeyNone
629,25,entire,O,,NEB
630,25,ass,O,,NEI
631,26,@,O,,KeyNone
632,26,Rainbow6Game,O,,NEB
633,26,@,O,,KeyNone
634,26,OnlyyL4uRa7,O,,NEI
635,26,Ddos,O,,NEO
636,26,for,O,,KeyNone
637,26,get,O,,KeyNone
638,26,the,O,,KeyNone
639,27,@,O,,KeyNone
640,27,sickubus,O,,NEB
641,27,@,O,,KeyNone
642,27,YourFavNatty,O,,NEI
643,27,nice,O,,KeyNone
644,28,https,O,,KeyNone
645,28,:,O,,KeyNone
